version	name	file	phase	risk	sha256	history_mode
56	demo_dataset_tombstone	000056_demo_dataset_tombstone.sql	expand	medium	1fe0e36d879132456168bba655e3064a90a0f5dc84e0f9fc2c12a2983bcf5361	atomic
57	catalog_product_images	000057_catalog_product_images.sql	expand	medium	9d5c2890d9d08f241822dda58b794dee144f669d834c62e5ec18bc0a98baaef4	atomic
58	workspace_members	000058_workspace_members.sql	expand	high	ed2592bf07c0ecdbae5288405d369fc32b3cb8eb32b4af6faf9c107bdf272d72	atomic
59	notification_preferences_ui	000059_notification_preferences_ui.sql	expand	medium	ce86d82d68abc08c1344900803b6d4e26ed826da7023f473f109f8cea3a83aee	atomic
60	connector_account_capabilities	000060_connector_account_capabilities.sql	expand	high	882f55f263faea1501026882a8acb4bdc4e9a31bc38fffe93272660d90df452c	atomic
61	settings_security	000061_settings_security.sql	expand	high	7150cfc0fa299075a88534a9e31fb60f0c3b88e5044422ec8c8efba0ec0ac373	atomic
62	connector_bootstrap_schedule	000062_connector_bootstrap_schedule.sql	expand	high	2d2774bb884fcb3fe1807e63210c078ac43a940c03ce989a408f3fea7313c987	atomic
63	connector_sync_claim_fix	000063_connector_sync_claim_fix.sql	expand	medium	80d26f5507e5606cad55a9d922acc8aa7e4e96deed67592a57ae2e5ad57399c4	atomic
64	retire_legacy_inbox_events	000064_retire_legacy_inbox_events.sql	contract	high	86b47d6cf9e20ccdab28cbbf0742e54997af559653f113808a91447e50d8f169	atomic
65	identity_provider_settings	000065_identity_provider_settings.sql	expand	high	0174221f47c425fc6f803f17e39e5a6ea6250f1783f691c2183acc5158b4d1de	atomic
66	connector_oauth_sessions	000066_connector_oauth_sessions.sql	expand	high	20017a93e87dec5f4d0fa121daf898c2f23dbeb452cdf847957bce1f0c7e7af7	atomic
67	worker_runtime_dispatch	000067_worker_runtime_dispatch.sql	expand	high	3897ba4afe4f47f7757a1d5bf83a2d80815deb756635d45211733fcbf4b787b3	atomic
68	connector_runtime_config	000068_connector_runtime_config.sql	expand	high	47895bc92925283ed12f574eaed9fff28fb02234bdabf3f51688dfba51fba33f	atomic
69	connector_health_history	000069_connector_health_history.sql	expand	medium	590c2e77f34f27fd05f7d84533f89a7d786d1d9e035ba831a7e62bd04ffccbf0	atomic
70	notification_destinations	000070_notification_destinations.sql	expand	high	c2b514be349a670b68e0c70c004d7e93ccf4e6949af97a2d1339135be229e898	atomic
71	privacy_worker_execution	000071_privacy_worker_execution.sql	expand	high	2c9f7c235fd89f2d17b88747401e99b4c0b997ae1d81ec62bf370a856769ee73	atomic
72	warehouse_operational_failover	000072_warehouse_operational_failover.sql	expand	high	03de18bf30ac60827e21e209c907f41dfe6bd754c0ef4f5fbcdf6817dabe3710	atomic
73	warehouse_incident_automation	000073_warehouse_incident_automation.sql	expand	high	ebdd5f53ee13d6d51a9b7c8fa108002c0621315e33ad9f28ae8f2e52641345b3	atomic
74	fulfillment_failover_execution	000074_fulfillment_failover_execution.sql	expand	high	761ecc6b14c51d4fff7fffc81ec57797f19749abc5c11996ccd0494db4a81be9	atomic
